streak,total_occurrences,ended_same_day,finished_day_with_streak
9,91,64,27
10,68,51,17
11,57,43,14
12,40,28,12
13,44,32,12
14,23,20,3
15,36,22,14
16,15,8,7
17,17,12,5
18,26,11,15
19,16,4,12
20,24,4,20
21,13,1,12
22,17,3,14
23,15,3,12
24,41,0,41
25,1,0,1
26,1,0,1
28,1,1,0
31,1,1,0
35,1,0,1
